snv,qtd_2007,qtd_2008,qtd_2009,qtd_2010,qtd_2011,qtd_2012
101BRN0167,22,32,23,27,41,33
101BRN0170,27,38,36,51,43,52
101BRN0180,17,42,42,45,51,37
101BRN0190,17,9,21,19,20,9
101BRN0210,51,56,62,71,65,64
101BRN0230,12,7,12,22,10,16
101BRN0240,11,13,13,16,12,13
101BRS4310,26,17,22,25,13,14
101BRS4320,33,39,51,97,99,62
101BRS4330,11,11,13,17,15,5
101BRS4340,15,15,17,27,24,18
101BRS4350,23,22,27,22,43,27
101BRS4360,61,51,85,96,106,92
101BRS4370,13,20,27,28,16,16
101BRS4380,58,57,71,65,75,74
101BRS4390,11,10,8,4,9,7
101BRS4400,1,NULL,1,NULL,2,1
101BRS4410,5,6,6,11,4,NULL
101BRS4420,2,7,3,3,3,5
101BRS4425,82,64,51,61,81,61
101BRS4430,11,6,10,8,NULL,NULL
101BRS4435,15,12,6,16,1,NULL
101BRS4438,26,22,29,29,1,NULL
101BRS4490,NULL,NULL,NULL,NULL,3,NULL
101BSC3810,67,77,189,136,118,110
101BSC3830,121,198,224,263,266,258
101BSC3850,70,98,151,143,176,164
101BSC3870,267,342,414,482,461,443
101BSC3890,205,186,303,300,277,209
101BSC3895,47,75,53,70,74,64
101BSC3900,156,203,198,252,233,230
101BSC3910,81,137,98,126,120,128
101BSC3931,154,281,233,293,406,341
101BSC3950,74,91,200,229,189,162
101BSC3970,81,96,86,101,141,147
101BSC3990,195,235,435,374,319,284
101BSC4010,476,489,651,726,808,724
101BSC4020,92,101,186,165,171,132
101BSC4030,130,125,159,170,199,163
101BSC4040,44,29,31,19,36,33
101BSC4043,120,164,155,191,192,225
101BSC4050,497,555,513,617,714,584
101BSC4070,299,329,265,388,463,465
101BSC4090,520,640,747,756,663,709
101BSC4095,354,426,552,616,621,707
101BSC4100,37,76,85,66,60,62
101BSC4105,108,103,300,296,191,158
101BSC4110,239,242,276,262,184,115
101BSC4115,46,50,40,58,56,53
101BSC4120,102,118,137,125,133,138
101BSC4125,152,172,167,192,188,198
101BSC4130,18,6,17,9,15,13
101BSC4140,244,256,224,211,186,180
101BSC4150,64,52,40,41,37,46
101BSC4160,81,57,84,96,114,152
101BSC4170,156,181,266,270,270,340
101BSC4180,156,200,238,248,244,234
101BSC4190,14,20,12,16,21,13
101BSC4200,163,224,184,243,238,193
101BSC4210,216,196,174,224,219,219
101BSC4230,194,208,200,200,186,153
101BSC4240,164,169,229,267,285,227
101BSC4250,106,115,121,164,150,147
101BSC4290,156,186,151,103,87,95
101BSE0910,5,1,5,6,3,3
101BSE0930,12,13,4,10,12,12
101BSE0950,6,11,12,14,17,16
101BSE0970,13,11,8,13,8,12
101BSE0975,7,6,8,9,10,9
101BSE0980,14,11,11,8,15,17
101BSE0990,6,4,9,12,5,5
101BSE1030,5,14,22,24,39,19
101BSE1050,34,51,24,46,44,54
101BSE1070,NULL,2,3,1,2,4
101BSE1090,19,39,47,41,38,46
101BSE1110,15,21,19,24,17,14
101BSE1130,22,33,16,26,34,38
101BSE1140,21,12,14,17,16,24
101BSE1150,67,51,68,59,84,77
101BSE1170,29,33,31,26,65,64
101BSE1190,33,38,33,34,49,30
101BSE1200,64,44,33,26,52,36
101BSE1210,68,36,36,35,49,43
101BSE1220,43,32,37,37,50,32
101BSE1230,60,80,57,88,88,117
101BSE1250,57,69,62,72,96,89
101BSE1270,15,41,20,22,30,31
101BSE1280,24,31,18,22,35,32
101BSE1290,34,40,38,44,49,73
101BSE1300,17,11,9,14,36,16
101BSE1305,34,21,43,33,61,60
101BSE1310,9,12,16,12,20,20
101BSE1330,10,16,17,14,23,7
101BSE1340,16,21,22,54,37,32
101BSE1350,22,14,9,31,29,18
101BSE1370,17,15,32,88,44,43
101BSE1390,3,9,11,8,13,13
101BSP3450,125,107,112,122,88,110
101BSP3470,85,105,100,87,96,135
104BAL0570,8,4,9,11,10,11
104BAL0580,13,7,7,14,15,11
104BAL0590,34,26,49,63,61,43
104BAL0610,25,17,26,33,28,23
104BAL0615,17,23,22,26,27,25
104BAL0620,16,26,17,28,28,25
104BAL0650,36,42,43,62,52,52
104BAL0670,168,205,174,269,276,195
104BPB0220,NULL,NULL,1,2,4,NULL
104BPB0225,3,3,4,11,10,3
104BPB0230,2,4,4,5,5,NULL
104BPB0240,19,13,12,13,19,9
104BPB0250,15,21,19,18,24,21
104BPB0270,31,29,43,49,40,47
104BPB0275,14,18,21,18,19,21
104BPB0280,16,11,9,11,18,16
104BPB0300,51,52,39,52,64,66
104BPB0310,29,26,36,36,53,53
104BPB0320,7,7,14,13,21,16
104BPB0322,15,15,19,14,18,14
104BPB0325,4,8,4,13,7,15
104BPE0330,3,1,5,11,4,7
104BPE0350,16,14,7,16,10,8
104BPE0370,42,44,45,55,55,61
104BPE0390,4,1,1,7,2,NULL
104BPE0410,25,36,36,40,50,29
104BPE0430,46,70,88,88,100,94
104BPE0440,168,183,171,164,132,145
104BPE0445,9,9,5,16,11,13
104BPE0450,27,42,31,61,49,61
104BPE0470,3,8,4,2,10,8
104BPE0490,19,17,24,20,24,24
104BPE0510,3,7,2,14,5,11
104BPE0520,30,22,21,34,25,11
104BPE0530,3,4,3,8,2,NULL
104BPE0550,10,6,13,17,15,4
110BAL0530,3,4,4,5,4,4
110BAL0540,NULL,1,NULL,NULL,NULL,3
110BBA0550,4,14,7,16,9,8
110BBA0570,16,23,24,44,41,45
110BBA0572,17,26,23,43,23,20
110BBA0590,2,3,1,3,3,2
110BBA0610,6,12,11,9,12,27
110BBA0612,11,7,12,21,19,21
110BBA0630,NULL,3,4,1,7,4
110BBA0632,17,16,31,34,28,36
110BBA0650,23,23,15,31,35,30
110BBA0670,10,3,7,11,10,11
110BBA0672,3,5,5,5,8,9
110BBA0690,3,4,3,3,11,4
110BBA0710,2,3,6,5,3,9
110BBA0712,NULL,NULL,3,NULL,1,1
110BBA0714,2,4,7,11,5,3
110BBA0716,11,11,11,11,12,10
110BBA0730,10,16,14,12,15,15
110BBA0770,11,20,16,15,21,25
110BBA0772,55,59,78,82,81,58
110BBA0774,17,38,40,40,54,44
110BBA0790,16,34,19,31,21,29
110BBA0792,19,14,23,27,39,21
110BBA0810,23,20,37,21,30,32
110BPB0190,5,3,1,3,1,2
110BPB0200,NULL,NULL,1,2,3,5
110BPB0350,2,NULL,NULL,5,NULL,3
110BPE0370,4,6,7,NULL,NULL,NULL
110BPE0390,2,12,5,NULL,NULL,NULL
110BPE0410,2,2,9,19,26,31
110BPE0430,2,NULL,NULL,NULL,NULL,NULL
110BPE0450,12,2,1,2,5,NULL
110BPE0470,NULL,NULL,1,4,5,2
110BPE0510,1,4,15,11,7,7
110BRN0010,7,2,4,7,6,18
110BRN0030,102,85,128,160,189,158
110BRN0040,1,1,NULL,2,1,NULL
110BRN0045,2,1,NULL,2,NULL,1
110BRN0050,NULL,1,NULL,3,1,3
110BRN0060,NULL,1,1,NULL,NULL,4
110BRN0070,3,NULL,1,NULL,NULL,NULL
116BBA0490,11,13,5,2,7,43
116BBA0492,48,45,10,17,19,113
116BBA0494,10,10,12,11,7,8
116BBA0496,2,6,3,3,1,8
116BBA0510,15,20,14,32,14,20
116BBA0550,20,35,21,19,23,30
116BBA0570,8,10,12,16,11,9
116BBA0572,23,32,23,20,39,31
116BBA0590,13,12,21,29,29,20
116BBA0591,5,10,4,6,12,13
116BBA0592,14,10,12,28,20,19
116BBA0610,8,15,21,37,38,28
